        	        	        	        	        	        	EARNINGS	        	        	        	        	
    4.89	    0.57	    0.59	   -0.44	   -0.28	   -0.20	   -7.25	    1.40	    3.18	    0.77	    4.09	
   -3.91	   -2.42	   -8.67	    5.97	   -2.66	   -0.85	   -2.22	   11.99	   -2.70	    1.02	   -7.72	
   -1.02	    3.95	   -1.91	   -1.81	    9.85	    3.09	    0.30	    3.24	   -2.16	   -0.44	   -3.98	
   -2.65	   -1.69	    0.75	   -0.07	    0.52	    2.44	    5.42	    1.71	   -9.63	   -0.15	   -0.07	
    1.21	    3.27	   -0.39	   -2.79	    0.96	    3.31	   -6.95	   10.92	   -2.74	    1.83	    7.17	
   -0.07	    7.47	   -0.97	    0.14	    2.24	    6.03	  -10.28	   -8.00	  -13.39	    0.27	    1.17	
    3.48	   -4.58	    3.02	   -3.45	    0.25	    3.78	   -5.79	   -0.92	   -0.31	   -1.04	    1.74	
    3.16	    1.45	   -0.27	   -0.50	    0.91	   -0.86	    1.70	    1.78	   -0.50	    2.81	    2.49	
   -4.93	   -4.07	    0.39	    0.77	   -1.53	    0.39	    4.25	    1.85	    7.27	   -1.69	   -4.83	
    7.00	   -0.73	    1.83	  -12.59	    0.82	   -1.63	   18.67	    8.39	   -2.26	    1.32	   -1.63	
    1.55	   -5.20	   -2.10	    2.47	    0.80	    4.31	   -3.98	   -1.91	   -1.30	    2.14	    0.16	
    2.41	   -6.19	    2.51	   -1.84	    2.03	    0.61	   -0.46	   -3.36	   -0.32	   -0.79	    2.72	
   -2.61	   -1.57	    0.00	   -0.80	    2.26	   -0.63	   -0.32	   -1.59	    0.49	    0.64	    0.16	
   -3.70	    0.00	    0.00	   -6.54	   -1.23	    0.00	    0.00	  -16.46	    1.75	    0.00	    7.35	
   -0.32	    1.28	    0.00	   -1.05	    2.45	    0.00	   -0.31	   -3.02	   -2.79	    2.76	   11.72	
    2.02	   -0.50	    0.50	   -5.63	   -8.39	   -1.69	   -1.96	    9.00	    0.00	    0.92	   -2.05	
    2.25	    3.88	    6.36	    1.00	   -3.39	    4.33	    0.19	   -2.51	   -3.44	   -3.61	    0.46	
   -2.94	    0.05	   -0.19	    0.43	   -3.59	   -2.33	    0.36	   -0.35	    0.10	   -3.30	   -0.47	
   -4.82	    1.81	   -3.30	    2.01	    1.49	    1.83	   -3.44	   -0.96	    2.20	   -0.53	    3.01	
    1.73	   -1.31	    1.53	   -0.73	   -0.97	   -0.16	    2.39	    4.33	   -5.03	    4.99	    1.55	
    4.45	    0.41	   -4.32	   -2.09	    1.87	    0.68	   -1.65	   -4.27	   -2.12	   -0.51	    0.97	
    2.67	    0.11	    2.02	    0.32	   -1.06	   -3.81	   -6.22	   -4.19	    1.20	   -4.93	   -0.47	
   -5.30	   -4.00	    0.83	   -1.65	    3.36	    0.81	    0.00	   -7.26	    0.00	   -6.96	    1.87	
    6.25	   -2.52	    0.00	   -2.59	   -1.77	    2.70	   14.04	  -16.15	    1.83	   -1.80	   -1.83	
    0.00	    0.00	    2.83	   -0.92	    0.93	    0.00	    0.00	    0.00	    4.59	    0.88	    2.61	
    4.56	   -2.01	    0.00	   -0.68	    2.41	   -4.38	    1.76	   -3.46	   -1.08	   -3.62	    0.75	
   -2.87	    4.06	   -5.67	    7.89	   -8.36	   -1.90	    9.69	    1.06	    2.10	   -2.05	   -4.90	
    6.83	   -5.05	    3.90	    2.39	   -2.33	   -1.02	   -1.03	   -3.48	   -3.25	    1.87	   -1.83	
   -1.18	   11.61	   11.20	   -4.08	    0.00	    3.25	    1.21	    5.74	   -7.69	    1.72	   -4.82	
    0.31	   -1.84	   -6.56	   -1.34	    1.69	    0.33	    6.31	    0.63	   -1.24	    3.77	   -3.03	
   -3.39	   -5.66	   -1.14	   -7.51	   -1.25	   -1.90	    9.68	   -4.12	   -4.29	   -3.21	    4.30	
    3.28	   -1.21	    2.45	   -1.94	    7.62	   -6.94	   -2.44	   -5.62	   -1.22	   10.44	    1.67	
    3.90	    5.84	   -0.79	    1.72	   -3.52	    2.56	   -8.82	   -9.38	    0.16	   -5.25	    2.01	
    3.12	   -4.44	    3.47	    0.76	    0.24	   -0.51	   -0.91	    0.92	   -1.52	    0.72	   -2.40	
    8.94	   -7.32	    2.27	    3.39	   -2.56	   -0.45	   -0.96	    0.59	    3.21	   -1.92	    1.61	
   -1.88	    2.64	   -1.23	   -1.77	   -4.88	    1.01	   -0.13	   -1.32	    3.62	    0.00	   -0.06	
    2.83	    0.00	    0.50	   -0.06	    4.66	   -3.15	    0.49	   -2.44	    1.13	    0.56	    0.00	
    3.57	   -2.08	    1.15	    0.84	   -0.65	   -1.50	    0.24	    0.36	   -3.26	   -1.31	   -2.53	
   10.42	    1.89	    0.00	    7.41	    5.17	    2.95	    0.32	    3.17	   18.46	    2.60	   -3.80	
    0.00	   11.39	    5.00	    3.90	   -6.25	    1.11	    7.69	   14.29	   -1.79	    8.18	    0.84	
   -1.32	   -4.00	   -9.72	    0.00	    0.00	   24.62	   -1.23	    0.00	   -1.25	    1.27	   -1.25	
    0.00	   16.46	   -7.61	    3.53	   -1.14	    6.90	  -14.41	    9.30	    2.30	   -1.12	    3.41	
   -2.16	   -7.18	    2.38	    4.07	   -1.68	   -3.41	   -1.76	    3.59	  -14.45	    3.38	    2.61	
    2.61	   -3.18	   -3.29	   -8.84	    0.00	   -3.73	  -11.63	  -12.28	    7.00	  -11.21	    2.11	
    2.57	    0.00	   -0.36	    6.83	   -1.01	    0.68	    5.41	    4.81	   -1.83	    3.43	   -0.90	
    0.42	    0.84	   -1.67	   -0.43	    0.43	    2.13	    0.00	    9.58	   -0.76	   -1.15	   -2.71	
    1.25	    3.38	   -4.46	    1.87	    5.81	    1.45	   -4.27	   -5.36	    3.77	   -3.33	   42.01	
    0.24	    4.17	    1.10	   -9.93	    6.69	   -6.69	    1.02	    7.41	   -5.54	   -5.12	  -12.89	
   14.36	    3.36	   -5.38	   -6.88	   -0.98	   -3.27	  -13.45	    7.55	    0.68	    0.25	    8.04	
   -3.39	   -4.81	    0.92	    2.55	   -1.27	   -2.66	    0.93	   -5.80	   -8.83	   -1.75	   -5.16	
    0.08	   -0.32	    0.08	    0.00	   -1.20	    0.00	    0.57	   -0.16	   -0.16	    0.65	    0.40	
    5.15	    3.25	   -0.53	    2.41	   -1.57	    0.58	    0.85	   12.26	   -6.77	    3.40	   -3.39	
   -0.95	    2.71	   -0.78	    0.99	   -8.17	   -3.72	    0.82	   -4.29	   10.85	    6.23	    0.21	
   -5.47	   17.62	    5.77	   -1.25	    3.85	   -6.44	   -5.84	   -7.31	   -3.71	    5.71	   -0.82	
    3.43	    2.25	    1.05	   -4.77	   -1.31	    1.98	    2.81	    0.63	    1.36	   -2.37	   -6.02	
    3.47	    0.00	    1.79	    2.63	    0.32	    0.11	    0.00	   -4.79	   -0.67	   -2.03	    3.56	
    7.83	   -2.38	    3.88	    3.10	    0.24	   -1.77	   -1.34	   -0.45	   -2.20	   -3.26	   -1.46	
   -5.62	    2.55	   -2.00	   -1.73	    4.13	    3.49	    1.03	   -3.38	   -1.61	    0.16	    1.77	
   -1.04	   -2.62	   -3.23	   -0.56	    0.56	   -0.56	   -1.12	   -5.08	   -1.79	    1.21	   -1.20	
    0.00	    0.00	    2.30	   -0.56	    0.56	    2.81	   -1.09	   -1.66	    0.56	    0.00	    3.91	
   -0.96	   -2.31	   -0.75	   16.77	    8.79	  -11.23	   -5.55	   -4.94	   -2.60	    6.35	    3.82	
    6.35	    3.82	   -2.76	    8.16	    9.29	   -7.90	    9.23	   -1.59	   31.52	   27.80	    9.50	
   -6.60	    8.87	    7.11	  -13.66	   -4.16	   -9.69	  -14.87	   -3.48	   11.97	   -0.97	   -1.78	
    5.12	   -7.47	   -3.16	    1.09	    0.36	    3.57	    3.45	   -3.00	   -2.75	   -2.47	   -9.42	
   -2.49	    0.42	    1.46	    2.02	   -0.68	   -0.09	    1.14	   -1.28	   -0.39	    0.34	   -0.55	
   -0.77	   -1.99	    1.22	    1.02	    2.71	   -0.50	    1.54	   -0.09	   -0.18	   -2.24	   -0.26	
   -2.79	    0.32	    0.11	    1.90	    2.39	    2.23	   -0.99	   -1.30	   -1.62	   -1.24	    0.31	
   -1.24	    0.31	    0.83	   -1.14	    1.78	    1.44	   -1.21	   -9.32	   -1.02	    0.46	    1.14	
    0.00	    0.00	   -0.36	   -1.69	   -0.74	    1.12	   -4.42	    5.52	    1.34	    1.56	    2.60	
   -2.02	   -3.82	    1.56	    0.93	    0.19	   -1.39	    5.88	    0.58	   -0.24	   -1.51	   -2.64	
    8.21	   -2.64	   -3.20	    4.07	   -1.07	   -0.77	    3.08	   -3.14	   -1.56	   -3.64	   -1.87	
   -5.00	    4.21	   34.34	   -7.52	   -0.81	    3.28	   -4.76	    1.67	    4.10	   -8.66	   -4.31	
   25.86	   -7.19	    6.64	   -8.30	  -11.70	    4.70	  -18.37	   -3.00	   -8.76	    4.52	   -2.16	
    4.52	   -2.16	  -17.68	    8.72	    3.70	  -10.71	   -9.33	   -2.94	   -0.76	   -9.92	    1.69	
   20.37	   -3.08	   -3.17	   14.75	   -8.57	    2.34	  -11.45	    1.72	   -4.24	    6.19	    6.67	
    2.72	   -1.32	   -2.01	  -19.86	   11.11	    4.62	   25.74	    4.09	   28.09	    5.70	    5.81	
    3.24	   -0.03	    1.02	    1.36	    0.08	    6.59	    4.64	   -0.81	    0.05	    0.85	   -0.35	
    0.00	   -0.59	    2.07	   -2.03	  -19.53	   -2.94	    2.65	   -4.06	    3.08	    0.37	   -4.09	
    3.08	    0.37	   -4.09	   -2.33	   -0.79	    5.60	   -2.65	   13.62	    2.40	    0.00	   -3.34	
   -2.59	    0.66	   -7.59	   -0.36	    6.45	    3.03	   -0.33	    8.20	   -2.12	    2.17	    2.12	
   -1.99	   -3.72	    3.90	    1.49	   -1.49	    0.49	   -1.08	   -1.30	   -4.35	   -1.74	    2.76	
    2.55	   -6.87	    4.03	   -2.56	   -2.48	    5.83	    2.84	    3.69	   -4.31	   -2.93	   -0.36	
   10.76	    4.36	   -0.44	   -2.78	   -1.53	    5.85	   11.93	   -1.85	    3.51	    4.44	   -0.07	
    9.88	   -1.41	   -3.42	   -4.53	   -2.88	    0.33	    7.05	   12.11	   -2.46	   -1.58	   28.78	
    4.05	   -3.79	   -0.39	   -0.72	    3.80	    2.01	    4.16	    1.39	   -5.64	   -0.86	   -2.54	
   -3.02	    0.16	    2.37	   -0.75	   -0.44	    0.32	    2.28	   -4.39	    3.46	   -0.38	    0.97	
   -2.19	   -1.15	    0.09	    2.30	    2.54	   -1.49	    0.24	   -6.89	    0.13	    0.25	   -0.03	
   -1.05	    0.17	   -0.40	    2.23	   -0.65	    2.52	    4.96	    3.87	    1.03	   -1.22	    0.65	
    0.08	   -5.08	    2.40	    0.62	   -0.85	   -7.12	   -3.71	  -13.07	   -4.88	  -10.26	   -2.71	
    4.25	   -3.07	    4.69	   -3.32	    3.25	    3.38	    2.37	  -30.85	   -2.79	   -8.61	   -1.79	
    5.44	    5.06	   -3.95	    2.30	    7.93	    4.26	    3.05	  -32.09	  -11.07	   24.34	   -4.39	
    1.79	    2.28	   -0.81	    1.63	    0.50	    0.00	   -3.30	    1.76	   -1.73	    1.14	    2.15	
    0.58	    0.19	   -0.10	    0.58	    0.96	   -1.71	   -0.87	   -7.50	    1.79	    2.28	   -0.81	
   -3.54	    5.04	   -1.20	    1.52	    0.90	   -0.79	    0.30	   -3.77	   -2.06	   -1.16	   -2.02	
   -4.09	    6.98	   -3.38	    5.50	   -5.09	    0.62	    2.48	   18.40	   -4.70	   -2.04	    0.88	
    3.68	   -1.89	    5.77	   -2.14	    0.22	    9.38	    9.37	  -20.33	    6.75	    2.57	   -3.13	
    6.91	   -1.76	    3.59	   -1.73	    1.41	    3.94	   -0.33	   -7.61	    4.36	   -4.29	    2.67	
   -5.07	    3.20	    0.64	   -0.84	   -2.73	  -11.03	   -1.42	    2.21	    6.38	    6.00	   -1.38	
   -2.97	    1.35	    1.25	   -0.04	    3.66	   -1.03	    7.78	    0.27	   -5.74	    4.54	    2.08	
    6.38	    6.00	   -1.38	   -1.56	    7.03	   -2.33	   -8.96	   -5.67	    9.61	   -3.77	    4.07	
    0.65	    3.25	    3.14	   -4.27	    2.55	   -2.48	   -1.27	   -4.52	    8.11	    2.50	    0.00	
    2.50	    0.00	   -2.44	    3.75	    4.82	   -2.30	    1.76	    1.16	   -8.00	    5.59	   -2.35	
   -1.85	    0.00	    0.38	    0.00	    3.00	   -3.27	    5.26	   -0.71	   -2.88	    3.33	    0.36	
    0.37	   -0.37	    0.00	    0.00	    1.19	   -1.17	    2.59	    0.00	    0.00	   -1.81	    0.00	
    0.00	    0.36	    0.72	   -1.43	    0.36	   -1.09	   -0.37	    0.00	   -0.74	    0.37	   -0.37	
   -7.46	   11.29	   -3.62	   -3.76	   -2.34	   -1.60	   -7.32	    3.51	   -1.69	    5.17	   -7.38	
   -7.38	    5.31	   -5.88	    6.25	   -3.36	   -4.35	   -4.55	    6.67	   -3.57	   -3.33	    3.45	
    1.01	    5.00	    6.67	    8.04	   -5.79	   -1.75	   -1.79	   -1.82	    0.93	    4.59	   -0.88	
    3.83	    2.46	   10.40	    1.45	    1.79	  -11.58	   -0.40	    0.40	    0.40	   11.07	   -3.91	
    5.00	    2.86	    6.94	   -6.06	    5.99	    3.04	   -0.84	    3.83	    2.46	   10.40	    1.45	
    1.62	    6.05	   -0.60	   24.47	   -8.01	    5.54	   -0.75	  -25.44	    7.77	   -1.57	   -4.46	
  -11.43	   -3.23	   -6.67	  -10.00	   19.05	  -10.00	   -7.41	    8.00	    0.00	   -3.70	   -3.08	
   14.29	  -12.50	   -3.57	   11.11	  -13.33	    7.69	   -3.57	    0.00	    7.41	  -10.34	    0.00	
   -4.92	    0.43	   18.03	    0.36	   -4.71	   -8.37	   -9.13	   27.85	    3.93	   -0.34	    6.21	
    0.67	   12.67	   -4.14	    3.70	   -6.55	   -1.27	   14.84	    0.56	    1.12	   -2.76	    2.27	
    4.44	   -2.13	    0.00	   -1.09	    0.55	    1.09	   12.43	    3.85	   -4.63	   11.65	    3.91	
   -0.71	   -0.78	    3.01	   -0.12	    0.88	    1.22	   -0.29	   -4.03	   -1.14	   -3.34	   -1.13	
   -0.29	    0.17	   -2.12	   -2.87	   -0.30	    1.69	    0.71	   -0.29	   -1.54	   -1.44	   10.37	
    1.40	    0.82	    0.62	   -0.62	   -1.68	   -0.32	   -3.88	   -1.85	    2.49	   -0.33	    1.06	
    1.07	    9.23	    0.97	   -2.87	    4.43	    0.00	    0.00	  -10.61	   -2.37	   -5.41	    0.00	
    0.23	   -2.33	   -1.43	    5.33	   -2.30	    0.47	   -1.17	  -12.09	    0.81	    4.55	    2.05	
    2.46	   -0.30	    0.60	    6.89	   -1.96	  -10.57	    6.71	   10.48	   -0.27	    5.71	    3.86	
    5.41	    0.41	   -0.31	    1.44	   -3.64	    1.15	   -0.52	   -5.21	   -1.21	   -4.79	   -1.05	
    0.52	   -1.29	    1.57	    1.55	    1.52	   -1.06	   -0.76	    0.57	   -2.34	   -0.32	    1.82	
    0.53	    1.00	   -0.92	   -1.06	    1.74	   -0.99	   -5.66	   -0.78	   -2.77	    0.66	   -0.15	
   -0.32	    1.82	   -0.38	    1.22	    1.78	    0.56	   -2.85	    2.49	   -1.99	    0.06	   -0.13	
   -1.55	    2.09	    6.15	    2.42	    9.43	    1.29	   11.91	   -3.42	   -3.54	    0.00	    3.67	
    0.00	   -7.92	   -2.46	    0.84	   -0.42	   -0.84	   -4.64	   -1.33	   -7.17	   -4.15	    2.82	
    0.91	   -4.50	    2.83	    1.38	   -7.69	    5.39	   -0.93	    0.47	   -8.41	   -1.02	   -1.55	
    0.26	   -2.08	    1.06	    0.00	   -1.32	   -0.80	    0.81	    2.40	    0.52	   -0.26	   -1.04	
   -1.57	    6.37	    1.20	   -3.25	    0.00	   -2.45	    1.25	   -2.17	    2.53	    3.09	   -4.79	
    2.76	   -0.30	   -1.20	    1.82	    3.27	    2.88	    0.28	    0.00	   -1.12	    3.11	    0.00	
    1.90	   -2.52	    1.07	    1.37	   -0.39	    1.44	   -2.11	   -3.47	   -0.77	    0.05	   -6.97	
    1.87	    0.71	    5.36	   -1.49	    5.02	   -3.48	    8.08	   -1.82	   -1.00	   -1.51	    2.65	
   -4.48	    3.12	   -2.42	    2.48	   -3.03	    1.56	    1.54	    0.00	   -0.30	   -4.26	   14.29	
   31.91	    6.45	    1.52	    9.85	   -7.07	   -8.77	   -0.64	    0.00	    4.84	   -1.54	   -3.13	
    0.65	   -3.85	    3.33	   -3.23	   -3.33	    0.00	    5.52	    0.33	    4.56	   -0.31	   10.94	
   -4.73	   -0.76	   -6.15	    4.92	    4.69	    1.12	   -5.17	    7.78	    2.17	    0.00	    7.42	
    0.44	    0.00	   -1.32	    4.44	    4.26	    3.67	   -2.36	   -2.82	   -2.49	   -5.96	    0.90	
    1.83	    3.60	   -3.04	   -2.24	   -1.83	    8.41	   -3.02	   22.22	   -3.64	    7.55	    3.16	
   -4.66	   -3.41	   -6.54	    4.36	   -1.87	    0.22	    5.76	    2.47	   -6.01	   -1.04	   -1.67	
   -0.96	    5.51	  -15.75	    2.80	   -5.31	    2.36	    1.60	   -9.12	   -1.40	    0.82	   -3.07	
   -1.33	    1.09	    1.51	   -0.51	    0.51	    1.74	   -1.50	   18.80	    2.60	    2.36	   -2.85	
    0.65	    2.11	   -9.00	    3.61	   -5.06	    0.83	    4.11	   -2.31	    0.75	    0.06	    2.58	
   -0.12	   -4.03	   -3.08	   -0.76	    3.91	   -0.62	   -2.24	    4.38	   -0.24	   -1.16	    3.83	
   -2.41	    1.69	    2.97	    7.55	    2.73	   -2.76	    1.98	    2.26	    3.60	    1.29	    0.59	
    4.81	   -1.97	   -0.67	   -3.37	   -0.35	   -3.85	    0.73	    0.72	  -11.11	   -5.24	   -5.96	
  -19.74	    9.02	   -4.51	    5.51	   -2.24	    0.00	  -12.21	   -6.09	  -11.11	    4.17	    3.00	
   -3.57	   -7.41	    6.67	    2.50	    0.41	   -8.50	    0.44	   -6.17	    5.16	   -4.02	   -4.65	
   -2.52	    8.17	   -5.37	   -4.62	    5.07	    0.84	    1.87	   -3.88	    0.85	    6.74	   14.79	
    4.20	   -2.74	    1.99	   -2.76	   -2.84	    4.99	   -3.11	   11.84	    2.87	    1.47	   -2.90	
    4.78	   -0.65	    0.92	    1.43	    1.03	    3.68	    0.73	   -0.61	   -3.06	   -4.79	    3.58	
   -1.60	    2.68	   -3.85	   -2.00	   -0.12	   -2.77	   -2.11	   -4.43	    0.00	   -1.19	   -1.88	
    2.36	    0.90	    0.38	    0.25	    2.15	    0.62	    2.21	   -1.08	   -6.32	    3.50	    2.01	
    0.35	   -0.50	    0.45	   -0.15	    0.40	   -0.20	    0.15	    0.10	   -0.50	   -0.70	    0.05	
    1.52	    1.00	   -0.25	    1.24	   -3.04	   -0.15	   -0.25	   -1.17	    0.56	    0.10	   -0.77	
   -2.63	   -2.03	    2.07	    1.35	   -6.33	    3.20	    3.45	   -3.80	   -8.18	    2.42	   -0.15	
    0.78	    7.75	   -1.08	   -2.40	   -1.94	    1.44	    0.37	   -1.12	    0.00	    0.38	   -1.13	
   15.18	    2.13	    3.65	   -5.68	    9.69	    6.95	    3.32	   -9.50	    2.57	    3.39	   -7.54	
   18.46	    9.40	   17.05	   -5.03	    1.76	   -1.76	    6.63	  -22.20	    7.24	   11.36	   24.70	
   -0.60	   12.07	  -11.79	    3.19	    6.71	   18.85	   18.09	   -8.78	    1.35	   -0.47	   -3.34	
   -0.01	   -0.24	   -2.40	    1.32	   -3.49	   -1.75	    5.54	  -25.44	    5.36	    0.23	    1.00	
    3.00	    0.59	   -1.58	   -0.41	   -2.14	    1.80	   -4.12	    6.52	   -0.29	   -4.12	    2.85	
    4.67	   -1.57	   -1.95	    5.57	   -9.87	   -1.10	   -0.04	    6.27	    2.73	    2.11	    8.94	
    0.94	    0.86	    0.21	    2.56	   -0.15	    3.22	    3.42	    2.77	   -1.27	    1.56	   -0.14	
   -1.04	    2.56	    1.42	    0.14	    1.32	   -0.27	   -3.80	   -0.28	   -0.43	   -0.66	    2.20	
    3.00	    0.37	    5.39	   -0.78	    0.87	   -1.37	   -4.74	   -1.29	    0.26	   -0.63	    2.79	
   -2.55	    1.96	   -5.77	   -1.36	    6.21	    2.60	   -3.80	   -9.21	   -2.90	    0.75	   -5.19	
   -2.29	   -2.34	    0.80	    1.59	    0.78	    5.43	   -3.68	   -6.87	   -3.28	   -1.36	   -2.06	
    2.56	    1.00	   -3.47	   -5.13	    3.24	    1.05	   -7.25	   -5.03	   -3.53	    1.83	   -6.59	
   -1.35	   -0.91	    2.76	    2.24	    1.75	    0.00	   -9.91	   -7.18	    6.70	   -2.90	    0.00	
    2.11	   -3.09	    1.06	   -1.05	    0.00	   -1.06	    1.08	   -4.26	    3.33	    0.00	    3.23	
    1.68	    1.65	    0.81	   -2.42	    0.00	    2.48	   -8.87	   -9.73	   -3.92	    0.00	   -2.04	
    8.51	   -4.55	   -0.30	    5.34	   -2.75	   -0.09	    1.67	   -6.92	   -0.26	   -2.00	   -3.36	
   -0.01	   -6.29	    2.83	    0.85	   -0.48	   -1.17	    4.76	   -5.75	    0.47	   -0.48	   -1.29	
   -0.84	   -2.71	   -1.49	    5.96	    4.70	   -3.08	    4.00	    5.07	   -3.20	    1.07	   -1.36	
    1.90	    0.67	    1.24	    1.92	   -3.81	    0.89	    0.35	   -5.10	   -1.71	    1.27	    1.58	
   -0.13	    1.84	   -2.23	   -0.97	   -1.11	    1.26	   -1.51	   -4.22	    2.91	   -1.69	   -0.60	
   -3.02	    0.00	    3.63	   -0.50	    1.01	    0.00	    0.00	   -5.97	   -2.65	   -3.80	    3.95	
   -9.94	   -2.08	   -6.17	    0.45	    8.80	    7.47	    2.70	   -5.64	   -4.98	   -1.68	    4.48	
   -2.43	   -0.28	    1.94	    0.27	   -1.36	    4.12	    2.64	    3.86	    7.67	    0.00	   -0.92	
    5.51	    1.69	    0.88	    1.74	   -3.63	    5.99	    6.28	   -1.97	   -2.21	   -2.67	    1.90	
   -1.91	    1.10	   -7.18	    3.96	   -6.17	   -3.56	    4.17	    1.31	   -3.19	   -4.32	   -0.90	
    3.21	    6.85	   -6.06	    3.47	   -0.76	   -1.09	   -0.28	    3.27	   -1.82	   -3.30	   -3.04	
   -5.65	  -10.14	    5.13	   -4.78	    2.20	   -5.26	    4.50	   -3.04	   -0.26	  -11.52	   -0.30	
   -4.80	   -3.60	   -6.54	   -5.20	   -5.06	    0.89	    7.71	   -3.07	    0.00	    8.23	  -13.45	
    1.27	   -5.22	    9.03	   -4.04	   -3.37	   -0.65	   -0.66	   13.25	   -4.48	  -11.63	    1.39	
    3.16	    1.70	    0.33	   -5.33	    6.34	   -2.98	    0.34	   -4.76	    3.21	    3.81	    2.67	
    3.07	    0.00	   -1.12	   -2.26	    1.54	    2.65	    0.37	   10.66	   -2.33	   -4.08	    0.00	
   -0.74	   -0.75	   -3.77	    5.49	    0.00	    9.67	    4.07	  -12.05	   -1.11	   -4.49	    2.35	
    0.44	    2.98	   -2.68	    0.66	  -12.05	   -0.25	   17.48	  -11.26	    6.71	   -6.29	    8.62	
    1.61	   -5.66	   -8.47	    3.57	   -0.19	   -5.32	   -8.67	    0.00	   -6.80	    7.29	   -9.17	
    3.24	    0.94	    3.32	    1.20	   -5.45	   -1.47	   -2.77	   -4.16	   -2.63	   -0.82	    2.25	
    3.42	    0.95	    0.28	    2.99	   -1.36	    0.46	   -0.27	    5.33	    0.35	   -0.26	   -0.26	
   -0.81	   -1.72	   -0.18	    2.03	   -1.18	    0.73	    0.00	   -0.45	   -0.46	    0.00	   -7.43	
   -0.99	   -1.67	    2.71	   14.52	    1.73	   -0.85	    2.86	   -5.83	  -17.40	   15.00	    0.62	
    2.27	   -1.85	   -8.68	   -0.83	  -10.42	    1.86	    0.00	   18.72	    9.62	    5.26	    0.33	
    0.94	   -7.12	  -10.00	    9.26	  -11.86	    0.00	    5.38	  -12.41	    0.42	   -8.71	   -0.45	
    3.41	   11.54	    4.93	   -4.69	   -2.96	    3.05	    0.99	   -8.29	   -3.72	   -3.87	    0.00	
    9.57	   -9.71	   22.58	  -18.42	   -7.53	   -4.65	  243.90	  -25.53	  -32.86	   25.53	   -1.13	
   -8.53	   -4.24	  -24.78	   21.18	   -4.85	    1.02	   -5.05	  -10.64	    1.19	  167.06	   -7.93	
    1.01	   -7.50	   -3.24	   -3.35	   -4.62	    0.61	   -2.41	  -10.49	   -4.14	   -0.72	  -10.14	
    3.17	   -0.47	  -13.25	    9.32	   -0.06	    3.07	    8.39	   -0.11	   -7.30	    0.00	   -2.97	
    1.50	   -0.84	    2.97	   -6.46	   -2.42	    3.16	   -2.92	    1.80	   -2.51	    6.52	  -15.43	
    0.19	    0.00	    4.93	    0.00	   -6.00	   -7.77	   -0.62	    5.38	   -0.92	   -2.11	   -0.47	
    3.12	   -4.84	   -1.27	    3.22	   -0.78	    1.57	   -2.63	   -5.88	   -0.34	    1.02	   11.07	
   11.07	   -1.81	    0.92	   -0.61	    2.30	    2.25	   15.10	   -1.27	    2.71	   -2.51	   -9.41	
    2.51	   -2.58	   -0.93	    4.01	   -5.26	   -2.98	   -7.96	    4.70	   -0.58	    1.90	   -1.14	
   -1.04	   16.80	    6.74	    0.00	  -20.00	   -1.32	   -9.33	  -41.18	   27.50	   -3.92	   -6.12	
    5.77	   11.27	  -19.93	   -2.04	  -12.50	   16.67	   -6.12	   -6.52	    2.33	   15.91	   17.65	
    1.75	    4.31	    0.00	   -1.24	    3.35	    3.24	   -1.96	   12.00	   -3.21	    0.00	    2.21	
    1.21	   -3.98	    1.66	   10.20	   -5.56	   -4.71	   -6.58	    0.44	    1.75	    4.31	    0.00	
    0.00	    1.06	   -5.24	    0.74	   -4.76	    1.92	   -2.26	   -6.95	   -1.66	   -2.95	   -1.30	
   -4.65	    1.63	    0.00	   -0.96	    0.16	   -0.81	    0.00	    3.25	   -1.57	   -5.60	    0.00	
    0.00	   -2.94	   12.12	   -2.03	    1.38	    4.76	   -1.95	  -14.57	   -4.65	    1.63	    0.00	
   -1.57	   13.55	   -0.88	   -6.19	   -3.77	    4.90	   -4.67	   -0.39	  -15.35	    1.16	   -3.45	
  -14.06	   -7.27	    2.45	    0.00	   -0.48	   -9.62	   -1.06	  -23.66	    2.82	   -7.53	    0.74	
   -3.45	   -0.97	   -1.93	   -1.30	    1.35	   -0.60	    2.53	   -6.42	   -4.69	   -0.06	    1.70	
   -0.71	    1.92	    4.14	   -0.41	   -0.71	    4.47	    2.03	   -0.77	   -0.92	   -0.75	    5.15	
  -30.63	    0.00	   -5.19	   -8.22	   -8.96	   -3.28	  138.98	   -9.22	   -7.81	   11.86	  -13.64	
  -16.97	  -23.76	  -18.84	  -19.64	  -13.33	   -3.85	    9.33	  -15.85	  -15.94	   -1.72	  145.61	
    0.75	   -4.45	   -0.29	   -0.88	   -1.65	    2.80	   -3.35	    3.06	   -1.56	   -0.88	    2.00	
   -1.34	   -4.23	    0.29	    0.44	   -0.06	    3.76	    0.43	   -2.21	    2.74	    0.57	    1.40	
    0.00	   -1.15	    1.35	   -2.49	   -2.11	    1.10	    1.56	    0.78	    0.93	    0.36	    0.01	
    5.31	    1.93	   -0.65	   -1.64	    3.00	    0.65	    7.72	    3.28	    5.20	    5.77	   -1.56	
    1.76	   -0.99	    3.24	    2.42	    4.72	   -4.95	   -1.18	    0.96	    0.00	   -4.75	    3.74	
   -1.15	   -9.06	    3.41	   -3.04	   -4.41	    4.22	    2.13	   -0.89	   -3.32	   -1.69	    1.11	
